title,href,date,city,theatre,price,type,subclass,status,min_price,max_price
新蜂音乐节成都站,https://detail.damai.cn/item.htm?id=931530073611,2025.07.05-07.06,成都,成都西部博览城北广场,189-1197,演唱会,音乐节,售票中,189.0,1197.0
开心麻花摇滚音乐大戏燃烧PLUS,https://detail.damai.cn/item.htm?id=934562615565,2025.06.29-07.06,北京,地质礼堂剧场,80-1080,话剧歌剧,话剧,售票中,80.0,1080.0
汽水音乐Chill派对,https://detail.damai.cn/item.htm?id=931484508631,2025.06.14-06.15,日照,日照海滨国家森林公园,98,演唱会,音乐节,售票中,98.0,98.0
2025五月天5525回到那一天25周年巡回演唱会哈尔滨站,https://detail.damai.cn/item.htm?id=920072454850,2025.06.13-06.15,哈尔滨,哈尔滨国际会展中心体育场,355-1555,演唱会,其他,售票中,355.0,1555.0
林忆莲回响Resonance2025巡回演唱会青岛站,https://detail.damai.cn/item.htm?id=929501383436,2025.08.09 周六 19:30,青岛,青岛国信体育中心体育场,280-980,演唱会,其他,售票中,280.0,980.0
芒禾大洋湾音乐节,https://detail.damai.cn/item.htm?id=923369803859,2025.06.14-06.15,盐城,大洋湾生态旅游景区,199-658,演唱会,音乐节,售票中,199.0,658.0
2025首届美好生活博览会,https://detail.damai.cn/item.htm?id=934022589328,2025.06.27-06.29,北京,北京展览馆,0,展览休闲,展会,售票中,0.0,0.0
四海福临2025德云社岳云鹏孙越相声专场杭州站,https://detail.damai.cn/item.htm?id=931073494102,2025.08.09 周六 19:00,杭州,杭州奥体中心体育馆,499-1599,曲苑杂坛,其他,售票中,499.0,1599.0
第三届大秦青年音乐节,https://detail.damai.cn/item.htm?id=930045813617,2025.06.14-06.15,咸阳,聚梦悠咕数字文汇中心东侧绿地,138-288,演唱会,音乐节,售票中,138.0,288.0
TheChainsmokers烟鬼2025演唱会广州站,https://detail.damai.cn/item.htm?id=928375120772,2025.06.26 周四 19:30,广州,南沙音乐秀场,388-1200,演唱会,其他,售票中,388.0,1200.0
2025潍坊新青年音乐节,https://detail.damai.cn/item.htm?id=921501882302,2025.07.05-07.06,潍坊,山东潍坊国际风筝放飞场,198-680,演唱会,音乐节,售票中,198.0,680.0
2025MTA天漠音乐节,https://detail.damai.cn/item.htm?id=927505931126,2025.06.27-06.29,张家口,河北怀来官厅国家湿地公园,88-568,演唱会,音乐节,售票中,88.0,568.0
中华恐龙园NEO音乐嘉年华,https://detail.damai.cn/item.htm?id=931566974641,2025.06.14-06.15,常州,中华恐龙园旅游度假区,198-985,演唱会,音乐节,售票中,198.0,985.0
2025超燃焰火音乐嘉年华苏州站,https://detail.damai.cn/item.htm?id=930752359049,2025.06.21-06.22,苏州,苏州高铁新城富翔路大草坪(地铁2号线/富翔路站),119-520,演唱会,音乐节,售票中,119.0,520.0
2025MC法老生于未来演唱会北京站,https://detail.damai.cn/item.htm?id=925441619998,2025.06.28 周六 19:00,北京,首都体育馆,377-1177,演唱会,其他,售票中,377.0,1177.0
2025象山东海城市音乐节,https://detail.damai.cn/item.htm?id=934052706862,2025.06.28-06.29,宁波,象山县商会大厦北侧空地,280-580,演唱会,音乐节,售票中,280.0,580.0
FWD富卫保险呈献BIGFOURHAPPYTOSEEYOUALL演唱会2025,https://detail.damai.cn/item.htm?id=934943722017,2025.08.09-08.11,中国香港,香港体育馆,480-1180,演唱会,其他,售票中,480.0,1180.0
2025陈小春生旦净末丑巡回演唱会广州站,https://detail.damai.cn/item.htm?id=926772373619,2025.08.23 周六 19:00,广州,宝能广州国际体育演艺中心,480-1380,演唱会,其他,售票中,480.0,1380.0
2025陈小春生旦净末丑巡回演唱会长沙站,https://detail.damai.cn/item.htm?id=926869768797,2025.07.19 周六 19:30,长沙,湖南国际会展中心·芒果馆,480-1380,演唱会,其他,售票中,480.0,1380.0
711霉霉专场Lover限定TaylorSwift霉粉狂欢音乐节,https://detail.damai.cn/item.htm?id=933485742625,2025.07.11 周五 20:00,深圳,MAO Livehouse深圳(海上世界),88-188,演唱会,音乐节,售票中,88.0,188.0
四海福临2025德云社岳云鹏孙越相声专场沈阳站,https://detail.damai.cn/item.htm?id=930589792300,2025.07.19 周六 19:30,沈阳,三生制药体育馆(原辽宁体育馆),380-1680,曲苑杂坛,其他,售票中,380.0,1680.0
万物安生时李健世界巡回演唱会南昌站,https://detail.damai.cn/item.htm?id=921360120344,2025.06.21 周六 19:30,南昌,南昌国际体育中心体育馆,380-1880,演唱会,其他,售票中,380.0,1880.0
2025小沈阳你们的巡回演唱会邯郸站,https://detail.damai.cn/item.htm?id=925284917975,2025.07.05 周六 19:30,邯郸,邯郸体育中心,280-1499,演唱会,其他,售票中,280.0,1499.0
2025新裤子北海怪兽巡回演唱会苏州站,https://detail.damai.cn/item.htm?id=921053871908,2025.07.05 周六 19:30,苏州,苏州市体育中心体育场,280-1380,演唱会,其他,售票中,280.0,1380.0
829霉霉专场Lover七夕限定TaylorSwift霉粉狂欢音乐节,https://detail.damai.cn/item.htm?id=932643379683,2025.08.29 周五 20:00,广州,池沼 CHIZHAO LIVEHOUSE,88-188,演唱会,音乐节,售票中,88.0,188.0
卫兰OUTOFFRAME世界巡回演唱会厦门站,https://detail.damai.cn/item.htm?id=926284741723,2025.06.28 周六 19:00,厦门,厦门奥林匹克体育中心-凤凰体育馆,480-1280,演唱会,其他,售票中,480.0,1280.0
吴宣仪931演唱会成都站,https://detail.damai.cn/item.htm?id=926177654438,2025.06.28 周六 19:30,成都,华熙LIVE·528 M空间,580-1380,演唱会,其他,售票中,580.0,1380.0
水洞沟九点音乐节,https://detail.damai.cn/item.htm?id=932548464249,2025.06.28-06.29,银川,灵武市水洞沟景区,99-498,演唱会,音乐节,售票中,99.0,498.0
UMEET遇见蓝莓音乐节,https://detail.damai.cn/item.htm?id=924594116688,2025.06.28-06.29,贵阳,多彩贵州城3号广场,169-599,演唱会,音乐节,售票中,169.0,599.0
822霉霉专场Lover限定TaylorSwift霉粉狂欢音乐节,https://detail.damai.cn/item.htm?id=933927154178,2025.08.22 周五 20:00,西安,西演SPACE·塞斯拾陆,88-188,演唱会,音乐节,售票中,88.0,188.0
年度新戏开心麻花志怪喜剧作妖记,https://detail.damai.cn/item.htm?id=934531777262,2025.07.11-07.20,杭州,杭州演艺·红星剧院,80-1180,话剧歌剧,话剧,售票中,80.0,1180.0
朱孝天启点的起点巡回演唱会南京站,https://detail.damai.cn/item.htm?id=930954572563,2025.07.19 周六 19:30,南京,南京太阳宫,280-1320,演唱会,其他,售票中,280.0,1320.0
于贞2025PINK巡演上海站,https://detail.damai.cn/item.htm?id=935040963078,2025.07.26 周六 20:00,上海,MODERN SKY LAB上海,249-439,演唱会,livehouse,售票中,249.0,439.0
2025MC法老生于未来巡回演唱会济南站,https://detail.damai.cn/item.htm?id=921912911389,2025.07.05 周六 19:00,济南,济南奥林匹克体育中心体育馆,377-1177,演唱会,其他,售票中,377.0,1177.0
曾轶可迷人的危险CaptivatingDanger巡演南京站,https://detail.damai.cn/item.htm?id=930036606796,2025.07.26 周六 19:30,南京,南京太阳宫,380-1680,演唱会,其他,售票中,380.0,1680.0
中文原创音乐剧海上钢琴师,https://detail.damai.cn/item.htm?id=933879958469,2025.07.25-07.30,上海,上海西岸大剧院-大剧场,180-1080,话剧歌剧,音乐剧,售票中,180.0,1080.0
2025门尼开门巡演南京站,https://detail.damai.cn/item.htm?id=930445541838,2025.07.13 周日 20:00,南京,今世缘·稻香演艺中心,188-328,演唱会,livehouse,售票中,188.0,328.0
喜力星银2025杭州草莓音乐节,https://detail.damai.cn/item.htm?id=919508784191,2025.06.14-06.15,杭州,大运河杭钢公园,269-659,演唱会,音乐节,售票中,269.0,659.0
音乐剧明星弗洛朗莫特FlorentMothe音乐会,https://detail.damai.cn/item.htm?id=936868805551,2025.07.11 周五 19:30,上海,交通银行前滩31演艺中心 · 大剧场,180-880,音乐会,其他,售票中,180.0,880.0
823霉霉专场Lover限定TaylorSwift霉粉狂欢音乐节,https://detail.damai.cn/item.htm?id=934932980119,2025.08.23 周六 20:00,成都,成都CH8冇独空间·完美店,88-188,演唱会,音乐节,售票中,88.0,188.0
2025MTA天漠音乐节大巴停车,https://detail.damai.cn/item.htm?id=935438578523,2025.06.27-06.29,张家口,永定河源官厅水库·国家湿地公园,50-4380,演唱会,音乐节,售票中,50.0,4380.0
音乐剧危险游戏中文版暑期档16周岁以下观众谢绝入场,https://detail.damai.cn/item.htm?id=930557347976,2025.08.08-08.17,上海,上海共舞台,180-580,话剧歌剧,音乐剧,售票中,180.0,580.0
2025在西宁超级演唱会,https://detail.damai.cn/item.htm?id=931684036338,2025.06.14 周六 20:00,西宁,青海体育中心体育场,80-580,演唱会,其他,售票中,80.0,580.0
范玮琪我们之间的事巡回演唱会佛山站,https://detail.damai.cn/item.htm?id=925271624958,2025.06.21 周六 19:00,佛山,佛山国际体育文化演艺中心,380-1280,演唱会,其他,售票中,380.0,1280.0
林忆莲回响Resonance2025巡回演唱会长春站,https://detail.damai.cn/item.htm?id=920956162394,2025.08.02 周六 19:30,长春,长春经济技术开发区体育场,380-980,演唱会,其他,售票中,380.0,980.0
2025年KPL王者荣耀职业联赛夏季赛常规赛重庆狼队主场,https://detail.damai.cn/item.htm?id=931186437062,2025.06.13-06.21,重庆,璧山文化艺术中心,108-788,体育,电竞,售票中,108.0,788.0
舞蹈诗剧只此青绿舞绘千里江山图武汉站,https://detail.damai.cn/item.htm?id=934519462200,2025.10.17-10.19,武汉,武汉琴台大剧院,180-980,话剧歌剧,音乐剧,售票中,180.0,980.0
德语原版音乐剧莫扎特音乐剧版音乐会,https://detail.damai.cn/item.htm?id=934039910630,2025.11.27-11.30,上海,上海文化广场主剧场,280-1080,话剧歌剧,音乐剧,售票中,280.0,1080.0
TizzyT蝴蝶效应巡回演唱会郑州站,https://detail.damai.cn/item.htm?id=920137606229,2025.07.12 周六 19:30,郑州,郑州奥林匹克体育中心 洋河·梦之蓝体育馆,380-1180,演唱会,其他,售票中,380.0,1180.0
2025夫来音乐生活节,https://detail.damai.cn/item.htm?id=920296996724,2025.07.05-07.06,沧州,沧州国际会展中心万人广场,199-521,演唱会,音乐节,售票中,199.0,521.0
毛不易冒险精神巡回演唱会南昌站,https://detail.damai.cn/item.htm?id=918435581612,2025.06.14 周六 19:00,南昌,南昌国际体育中心体育馆,480-1580,演唱会,其他,售票中,480.0,1580.0
2025年中国男篮热身赛,https://detail.damai.cn/item.htm?id=922285083057,2025.07.24-07.25,杭州,杭州奥体中心体育馆,280-1980,体育,球类运动,售票中,280.0,1980.0
2025刘昱晗昱见北京生日会,https://detail.damai.cn/item.htm?id=934591339794,2025.06.17 周二 19:30,北京,SILO LIVE 开花豆声音仓库,220-617,演唱会,其他,售票中,220.0,617.0
2025广州美术学院毕业季本科毕业作品展,https://detail.damai.cn/item.htm?id=923748516606,2025.06.12-06.27,广州,广州美术学院大学城美术馆,10,展览休闲,展会,售票中,10.0,10.0
音乐剧粉丝来信中文版,https://detail.damai.cn/item.htm?id=936014535585,2025.10.18-10.19,深圳,光明文化艺术中心 演艺中心·大剧场,80-680,音乐会,其他,售票中,80.0,680.0
染空间出品中文原创音乐剧海上钢琴师,https://detail.damai.cn/item.htm?id=931583782794,2025.08.14-08.16,北京,保利剧院,280-1080,话剧歌剧,音乐剧,售票中,280.0,1080.0
开心麻花惊怂爆笑大戏出马沈阳站,https://detail.damai.cn/item.htm?id=925821262590,2025.07.03-07.06,沈阳,辽宁大剧院大剧场,80-1408,话剧歌剧,话剧,售票中,80.0,1408.0
2025苏见信尽兴而活巡回演唱会成都站,https://detail.damai.cn/item.htm?id=923341796776,2025.06.28 周六 19:00,成都,成都东安湖体育公园多功能体育馆,380-1180,演唱会,其他,售票中,380.0,1180.0
2025胡海泉流浪者食堂演唱会宁波站,https://detail.damai.cn/item.htm?id=926971635816,2025.08.15 周五 19:30,宁波,宁波大剧院大剧场,180-980,演唱会,其他,售票中,180.0,980.0
于贞2025PINK巡演北京站,https://detail.damai.cn/item.htm?id=933161817668,2025.09.26 周五 20:00,北京,东三LIVE乐游园,249-439,演唱会,livehouse,售票中,249.0,439.0
2025全国羽毛球团体冠军赛,https://detail.damai.cn/item.htm?id=929064676221,2025.06.12-06.15,沈阳,三生制药体育馆(原辽宁体育馆),40-80,体育,球类运动,售票中,40.0,80.0
于贞2025PINK巡演杭州站,https://detail.damai.cn/item.htm?id=933034393290,2025.08.02 周六 20:00,杭州,SoFun Live 杭州,249-439,演唱会,livehouse,售票中,249.0,439.0
纯粹浪费户外现场8支乐队的摇滚派对和平饭店顶楼的马戏团BadSweetheart,https://detail.damai.cn/item.htm?id=931522356292,2025.06.21 周六 14:00,成都,QIAO翘音乐营地,149-200,演唱会,音乐节,售票中,149.0,200.0
第27届CUBAL中国大学生篮球一级联赛巅峰四强及全国总决赛,https://detail.damai.cn/item.htm?id=932544076059,2025.06.21-06.22,杭州,乐动力钱塘体育中心篮球赛馆,149-599,体育,球类运动,售票中,149.0,599.0
不如见一面海来阿木2025巡回演唱会常熟站,https://detail.damai.cn/item.htm?id=925095744894,2025.06.29 周日 19:30,常熟,常熟市体育中心体育馆,480-1280,演唱会,其他,售票中,480.0,1280.0
2025吉克隽逸太阳的女儿演唱会北京站,https://detail.damai.cn/item.htm?id=918597785951,2025.06.14 周六 19:30,北京,华熙LIVE·五棵松·场馆,380-1280,演唱会,其他,售票中,380.0,1280.0
毛不易冒险精神巡回演唱会太原站,https://detail.damai.cn/item.htm?id=918473074141,2025.07.05 周六 19:30,太原,山西体育中心体育馆,480-1580,演唱会,其他,售票中,480.0,1580.0
音为有你爱上德州群星演唱会,https://detail.damai.cn/item.htm?id=924734139651,2025.06.21 周六 19:30,德州,德州市体育公园体育场,290-1980,演唱会,其他,售票中,290.0,1980.0
2025姜育恒永远巡回演唱会哈尔滨站,https://detail.damai.cn/item.htm?id=927975081381,2025.07.26 周六 19:30,哈尔滨,哈尔滨国际会展体育中心体育馆,380-780,演唱会,其他,售票中,380.0,780.0
黑灯爆火主打秀长沙站,https://detail.damai.cn/item.htm?id=935421454198,2025.06.22 周日 19:30,长沙,长沙梅溪湖国际文化艺术中心大剧院,180-480,曲苑杂坛,其他,售票中,180.0,480.0
金润吉声音2025巡回演唱会免费接驳车,https://detail.damai.cn/item.htm?id=934072537411,2025.10.05 周日 19:00,上海,九棵树未来艺术中心-大剧场,180-880,演唱会,其他,售票中,180.0,880.0
舞剧永不消逝的电波,https://detail.damai.cn/item.htm?id=927433197822,2025.07.25-07.27,北京,天桥艺术中心-大剧场,180-980,话剧歌剧,音乐剧,售票中,180.0,980.0
英文原版音乐剧剧院魅影,https://detail.damai.cn/item.htm?id=926009295383,2025.10.14-10.19,深圳,深圳滨海艺术中心-歌剧厅,280-1380,话剧歌剧,音乐剧,售票中,280.0,1380.0
美依礼芽MARiA美的感言演唱会上海站,https://detail.damai.cn/item.htm?id=920903809520,2025.06.21 周六 19:30,上海,上海静安体育中心-体育馆,280-1080,演唱会,其他,售票中,280.0,1080.0
相约嘉陵江放歌钓鱼城明星演唱会,https://detail.damai.cn/item.htm?id=925199480495,2025.06.21 周六 19:30,重庆,合川区体育中心体育场,280-1280,演唱会,其他,售票中,280.0,1280.0
舞蹈诗剧只此青绿舞绘千里江山图免费接驳车,https://detail.damai.cn/item.htm?id=929973602878,2025.10.24-10.26,上海,九棵树未来艺术中心-大剧场,280-880,话剧歌剧,音乐剧,售票中,280.0,880.0
不如见一面海来阿木2025巡回演唱会大连站,https://detail.damai.cn/item.htm?id=922038391070,2025.08.16 周六 19:00,大连,大连体育中心体育馆,480-1280,演唱会,其他,售票中,480.0,1280.0
音乐剧寻找李二狗,https://detail.damai.cn/item.htm?id=935539916320,2025.07.18-07.19,天津,天津大剧院歌剧厅,180-980,话剧歌剧,音乐剧,售票中,180.0,980.0
音乐剧道林格雷的画像,https://detail.damai.cn/item.htm?id=932626715034,2025.10.07-10.08,南通,南通大剧院-歌剧厅,180-880,话剧歌剧,音乐剧,售票中,180.0,880.0
早鸟惊喜限定上映车银优VR演唱会记忆英皇电影城呈现,https://detail.damai.cn/item.htm?id=935518132166,2025.06.20-07.06,北京,英皇电影城-北京英皇集团中心店,208,展览休闲,特色体验,售票中,208.0,208.0
大船文化哈利波特与阿兹卡班的囚徒交响视听音乐会,https://detail.damai.cn/item.htm?id=926347615527,2025.08.07-08.09,上海,交通银行前滩31演艺中心 · 大剧场,97-943,音乐会,其他,售票中,97.0,943.0
陆川导演作品舞剧天工开物,https://detail.damai.cn/item.htm?id=934909010346,2025.08.22-08.24,杭州,杭州大剧院(歌剧院),180-880,话剧歌剧,音乐剧,售票中,180.0,880.0
女性超燃觉醒音乐剧她对此感到厌烦成都站,https://detail.damai.cn/item.htm?id=931150413754,2025.11.08-11.09,成都,成都城市音乐厅·歌剧厅,180-580,话剧歌剧,音乐剧,售票中,180.0,580.0
大旋时光经典星歌汇,https://detail.damai.cn/item.htm?id=920430810375,2025.06.28 周六 19:00,温州,温州奥体中心体育场,299-1099,演唱会,其他,售票中,299.0,1099.0
于贞2025PINK巡演武汉站,https://detail.damai.cn/item.htm?id=932546826701,2025.08.16 周六 20:00,武汉,MAOLivehouse武汉,249-439,演唱会,livehouse,售票中,249.0,439.0
腾格尔MMD2025巡回演唱会苏州站,https://detail.damai.cn/item.htm?id=922543677894,2025.06.21 周六 19:30,苏州,苏州奥林匹克体育中心体育馆,480-1080,演唱会,其他,售票中,480.0,1080.0
2025美依礼芽MARiA美的感言演唱会天津站,https://detail.damai.cn/item.htm?id=926221522115,2025.07.05 周六 19:30,天津,天津市人民体育馆,398-998,演唱会,其他,售票中,398.0,998.0
2025胡海泉流浪者食堂演唱会杭州站,https://detail.damai.cn/item.htm?id=925739288226,2025.07.27 周日 19:30,杭州,杭州剧院,180-980,演唱会,其他,售票中,180.0,980.0
2025光良不会分离今晚我不孤独30演唱会杭州站,https://detail.damai.cn/item.htm?id=918083390831,2025.07.05 周六 19:00,杭州,杭州奥体中心体育馆,388-1288,演唱会,其他,售票中,388.0,1288.0
2025BITOURTheLastParadeTourinMACAU,https://detail.damai.cn/item.htm?id=933385258155,2025.08.02 周六 19:00,中国澳门,[澳门百老汇] - 百老汇舞台,857-1629,演唱会,其他,售票中,857.0,1629.0
四熹丸子徐化文秋风巡回演唱会天津站,https://detail.damai.cn/item.htm?id=931257251821,2025.08.02 周六 19:30,天津,中华剧院,180-864,话剧歌剧,话剧,售票中,180.0,864.0
2025胡夏那些年时光放映厅巡回演唱会武汉站,https://detail.damai.cn/item.htm?id=918068048274,2025.06.14 周六 19:30,武汉,光谷国际网球中心,480-1180,演唱会,其他,售票中,480.0,1180.0
于贞2025PINK巡演成都站,https://detail.damai.cn/item.htm?id=932435582249,2025.08.30 周六 20:00,成都,CH8绿树演艺中心,249-439,演唱会,livehouse,售票中,249.0,439.0
余超颖迷焕纪2025全国巡回演唱会青岛站,https://detail.damai.cn/item.htm?id=930074721697,2025.08.02 周六 19:30,青岛,青岛凤凰之声大剧院(西海岸新区),180-980,演唱会,其他,售票中,180.0,980.0
2025胡海泉流浪者食堂演唱会苏州站,https://detail.damai.cn/item.htm?id=927907656622,2025.07.26 周六 19:30,苏州,苏州狮山大剧院-大剧场,180-980,演唱会,其他,售票中,180.0,980.0
倒带2004青春园游演唱会一键回到华语乐坛黄金年代北京站,https://detail.damai.cn/item.htm?id=931643265356,2025.07.12 周六 20:00,北京,疆进酒·OMNI SPACE,98-390,演唱会,其他,售票中,98.0,390.0
NMIXX2NDFANCONCERTNMIXXCHANGEUPMIXXLABinMACAO,https://detail.damai.cn/item.htm?id=921699387223,2025.06.28-06.29,中国澳门,伦敦人综艺馆,1050-1720,演唱会,其他,售票中,1050.0,1720.0
话剧红楼梦全本,https://detail.damai.cn/item.htm?id=934955272796,2025.08.09-08.17,上海,上海话剧艺术中心-艺术剧院,360-1288,话剧歌剧,话剧,售票中,360.0,1288.0
袁娅维月亮撒野202025巡回演唱会上海站,https://detail.damai.cn/item.htm?id=916998829334,2025.06.21 周六 19:00,上海,梅赛德斯-奔驰文化中心,380-1080,演唱会,其他,售票中,380.0,1080.0
2025年世界泳联花样游泳世界杯总决赛,https://detail.damai.cn/item.htm?id=930488493963,2025.06.13-06.15,西安,西安奥体中心游泳跳水馆,68-428,体育,其他,售票中,68.0,428.0
PsyP202550巡回演出成都站,https://detail.damai.cn/item.htm?id=935473438888,2025.06.20 周五 20:00,成都,CH8绿树演艺中心,288-480,演唱会,livehouse,售票中,288.0,480.0
2025许靖韵ThisChapter这一章巡回音乐会终极返场广州站,https://detail.damai.cn/item.htm?id=925822535188,2025.06.21 周六 20:00,广州,广州中山纪念堂,180-580,演唱会,其他,售票中,180.0,580.0
2025良辰国风男声音乐会广州站风华如君古韵流歌演出阵容西瓜JUN萧忆情等,https://detail.damai.cn/item.htm?id=929486931921,2025.07.20 周日 19:00,广州,广州中山纪念堂,188-588,演唱会,其他,售票中,188.0,588.0
2025良辰国风女声音乐会芳华歌行入梦寻音演出阵容银临不才等,https://detail.damai.cn/item.htm?id=926752282195,2025.07.19 周六 19:00,上海,回响之地 Music Park,188-588,演唱会,livehouse,售票中,188.0,588.0
2025蔡琴不要告别巡回演唱会上海站,https://detail.damai.cn/item.htm?id=920406587073,2025.10.07 周二 19:30,上海,梅赛德斯-奔驰文化中心,499-1399,演唱会,其他,售票中,499.0,1399.0
中国煤矿文工团话剧温暖的味道刘昊然周显欣阿木古郎主演,https://detail.damai.cn/item.htm?id=927900376765,2025.08.01-08.03,北京,保利剧院,180-1080,话剧歌剧,话剧,售票中,180.0,1080.0
夏日入侵企画人间萤火2025巡演吉隆坡站,https://detail.damai.cn/item.htm?id=929062528744,2025.08.09 周六 20:00,吉隆坡,JIOSPACE,336,演唱会,其他,售票中,336.0,336.0
泱泱国风舞动经典上海歌舞团朱鹮,https://detail.damai.cn/item.htm?id=935067086719,2025.07.18-07.20,北京,国家大剧院-歌剧院,100-880,话剧歌剧,音乐剧,售票中,100.0,880.0
2025华晨宇火星演唱会郑州站,https://detail.damai.cn/item.htm?id=923380569614,2025.06.14 周六 19:30,郑州,郑州奥林匹克体育中心 洋河·梦之蓝体育场,380-1280,演唱会,其他,售票中,380.0,1280.0
金润吉声音2025巡回演唱会天津站,https://detail.damai.cn/item.htm?id=928159267214,2025.08.01 周五 19:30,天津,中华剧院,280-1326,演唱会,其他,售票中,280.0,1326.0
719KPOPBOOM苏州站30室内KPOP狂欢音乐节,https://detail.damai.cn/item.htm?id=927476943530,2025.07.19 周六 20:00,苏州,山丘livehouse红唐店,88-188,演唱会,音乐节,售票中,88.0,188.0
跨越二次元ACG神级动漫演唱会2025艺尚音乐节,https://detail.damai.cn/item.htm?id=927426482665,2025.07.04 周五 19:30,杭州,杭州临平大剧院-空中舞台,159-299,演唱会,音乐节,售票中,159.0,299.0
长春首演开心麻花重返青春爆笑大戏我的妈呀,https://detail.damai.cn/item.htm?id=925277588450,2025.07.04-07.05,长春,长春国际会议中心主会场,200-1280,话剧歌剧,话剧,售票中,200.0,1280.0
职场推理音乐剧六个说谎的大学生,https://detail.damai.cn/item.htm?id=923690057144,2025.07.03-07.13,上海,人民大舞台,180-680,话剧歌剧,音乐剧,售票中,180.0,680.0
KPOPFM杭州站夏日特辑千人KPOP音乐节酒水畅饮,https://detail.damai.cn/item.htm?id=933513331396,2025.07.26 周六 20:00,杭州,MAO Livehouse杭州,88-188,演唱会,音乐节,售票中,88.0,188.0
KPOPFM成都站夏日特辑千人KPOP音乐节酒水畅饮,https://detail.damai.cn/item.htm?id=931101159864,2025.07.05 周六 20:00,成都,成都CH8冇独空间·完美店,88-188,演唱会,音乐节,售票中,88.0,188.0
2025赖声川导演作品话剧暗恋桃花源专属版杭州站,https://detail.damai.cn/item.htm?id=923148914262,2025.06.13-06.14,杭州,杭州剧院,180-880,话剧歌剧,话剧,售票中,180.0,880.0
江苏大剧院原创舞蹈剧场春之祭大剧场,https://detail.damai.cn/item.htm?id=929442660270,2025.07.12-07.13,重庆,重庆大剧院,180-680,话剧歌剧,音乐剧,售票中,180.0,680.0
2025南京戏剧节张维伊金靖张嘉元主演舞台剧看不见的客人,https://detail.damai.cn/item.htm?id=932059460298,2025.09.26-09.27,南京,南京保利大剧院大剧场,180-780,话剧歌剧,话剧,售票中,180.0,780.0
倒带2004青春园游演唱会一键回到华语乐坛黄金年代青岛站,https://detail.damai.cn/item.htm?id=934338062428,2025.08.16 周六 20:00,青岛,Downtown Live,98-380,演唱会,其他,售票中,98.0,380.0
吴若希林智乐越来越爱2025拉阔音乐会广州限定场,https://detail.damai.cn/item.htm?id=928374460895,2025.06.21 周六 20:00,广州,广州白云国际会议中心世纪大会堂,180-680,演唱会,其他,售票中,180.0,680.0
2025HYERIFANMEETINGTOURWelcometoHYERIsSTUDIOINHONGKONG,https://detail.damai.cn/item.htm?id=925248000324,2025.07.19 周六 18:00,中国香港,亚洲国际博览馆 11号馆,963-1646,演唱会,其他,售票中,963.0,1646.0
金润吉声音2025巡回演唱会太原站,https://detail.damai.cn/item.htm?id=930566725222,2025.07.21 周一 19:30,太原,太原青年宫演艺中心,280-1248,演唱会,其他,售票中,280.0,1248.0
沉浸式原创音乐剧雕像,https://detail.damai.cn/item.htm?id=931151365269,2025.07.04-08.10,上海,星空间1794号·临窗小剧场,199-399,话剧歌剧,话剧,售票中,199.0,399.0
2025祁隆巡回演唱会徐州站,https://detail.damai.cn/item.htm?id=927785604648,2025.06.13-06.14,徐州,徐州奥体中心综合馆比赛大厅,176-1276,演唱会,其他,售票中,176.0,1276.0
KPOPFM西安站夏日特辑千人KPOP音乐节酒水畅饮,https://detail.damai.cn/item.htm?id=930580059510,2025.07.04 周五 20:59,西安,西演SPACE·塞斯拾陆,88-188,演唱会,音乐节,售票中,88.0,188.0
纪念曹禺诞辰115周年曹禺经典巨作话剧雷雨,https://detail.damai.cn/item.htm?id=931590606951,2025.11.21-11.22,北京,世纪剧院,50-580,话剧歌剧,话剧,售票中,50.0,580.0
二狗领衔一支麦小剧场爆笑解压精品秀开心互动约会推荐打卡精选,https://detail.damai.cn/item.htm?id=923573181271,2025.06.12-06.29,青岛,一支麦小剧场(香港中路店),19.9-216,曲苑杂坛,其他,售票中,19.9,216.0
第二届钱塘国际戏剧节喜剧蒋公的面子南京大学艺术硕士剧团,https://detail.damai.cn/item.htm?id=934987022611,2025.10.31-11.01,杭州,杭州金沙湖大剧院-歌剧厅,80-580,话剧歌剧,话剧,售票中,80.0,580.0
舞台剧两京十五日2022版上海站,https://detail.damai.cn/item.htm?id=932211623303,2025.07.12-07.13,上海,大上海剧场,180-680,话剧歌剧,话剧,售票中,180.0,680.0
林忆莲回响Resonance2025演唱会南京站,https://detail.damai.cn/item.htm?id=909374685692,2025.07.12 周六 19:00,南京,南京奥体中心体育场,380-1280,演唱会,其他,售票中,380.0,1280.0
2025KARAThePhoenixTour巡回演唱会中国澳门站,https://detail.damai.cn/item.htm?id=926842657509,2025.08.30 周六 20:00,中国澳门,澳门新濠影汇综艺馆,588-2388,演唱会,其他,售票中,588.0,2388.0
女性超燃觉醒音乐剧她对此感到厌烦,https://detail.damai.cn/item.htm?id=924734771378,2025.09.05-09.06,广州,广州蓓蕾剧院,180-580,话剧歌剧,音乐剧,售票中,180.0,580.0
鬼灭之刃全集中展北京站,https://detail.damai.cn/item.htm?id=924154542980,2025.06.14-08.31,北京,北京朝阳大悦城1F东侧户外广场独栋空间(近星巴克),88-188,展览休闲,展会,售票中,88.0,188.0
2025连岛音乐节,https://detail.damai.cn/item.htm?id=908370973271,2025.06.21-06.22,连云港,连云港市连岛景区,299-798,演唱会,音乐节,售票中,299.0,798.0
